segment,group_a,group_b,fpr_a,fpr_b,z_stat,p_value,significant
card6,Credit,Debit,0.5682,0.3431,66.6,0.0,True
ProductCD,Cat_0,Cat_4,0.8226,0.3081,109.1,0.0,True
