card4,total_transactions,legitimate_transactions,fraud_transactions,false_positive_rate,false_negative_rate,recall
-1,334.0,325.0,9.0,0.4338,0.1111,0.8889
0,1670.0,1633.0,37.0,0.6081,0.0,1.0
1,1378.0,1275.0,103.0,0.5671,0.0291,0.9709
2,37670.0,36371.0,1299.0,0.3895,0.057,0.943
3,77056.0,74371.0,2685.0,0.3947,0.0886,0.9114
